🚫gorbanpu ---dr #404.8.3 | blocked 2025-12-06
🚫customer38 #405.5.12 | blocked 2026-09-14
🚫customer13 #405.5.10 | blocked 2026-09-14
🚫customer46 #405.5.28 | blocked 2026-09-14
🚫hadi.ganbarpur #405.5.11 | blocked 2026-09-14
🚫ramin.tankhahi #404.5.14 | blocked 2026-09-14
🚫customer47 #405.5.28 | blocked 2026-09-14
🚫customer36 #405.5.7 | blocked 2026-09-14
🚫customer2 #405.5.7 | blocked 2026-09-14
🚫customer48 #405.5.29 | blocked 2026-09-14
🚫javad.golmohammadi #405.5.18 | blocked 2026-09-14
🚫customer33 #405.5.6 | blocked 2026-09-14
🚫customer41 #405.5.18 | blocked 2026-09-14
🚫customer37 #405.5.11 | blocked 2026-09-14
🚫customer40 #405.5.17 | blocked 2026-09-14
🚫customer42 #405.5.18 | blocked 2026-09-14
🚫customer39 #405.5.14 | blocked 2026-09-14
🚫customer45 #405.5.27 | blocked 2026-09-14
🚫aydin.javani #404.5.14 | blocked 2026-09-14
🚫z.pourmohammad #405.5.12 | blocked 2026-09-14
🚫customer35 #405.5.7 | blocked 2026-09-14
🚫customer44 #405.5.25 | blocked 2026-09-14
🚫molayi #405.5.6 | blocked 2026-09-14
🚫customer34 #405.5.6 | blocked 2026-09-14
customer23 #405.6.23 | src: pt.configs.txt
shamsollah.sedigi #405.6.22 | src: pt.configs.txt
aaa.aaa #| src: test1
testtest #| src: pt.configs.txt
customer74 #405.6.22 | src: pt.configs.txt
sajad.samadzade #405.6.21 | src: pt.configs.txt
salamzade #405.6.21 | src: pt.configs.txt
customer73 #405.6.19 | src: pt.configs.txt
ansarifard #405.6.19 | src: pt.configs.txt
customer72 #405.6.19 | src: pt.configs.txt
a.ahmadi #405.6.19 | src: pt.configs.txt
customer71 #405.6.18 | src: pt.configs.txt
customer70 #405.6.18 | src: pt.configs.txt
customer69 #405.6.18 | src: pt.configs.txt
customer68 #405.6.18 | src: pt.configs.txt
customer67 #405.6.18 | src: pt.configs.txt
customer66 #405.6.17 | src: pt.configs.txt
🚫customer28 #405.4.30 | blocked 2026-09-08
🚫asghar #405.5.4 | blocked 2026-09-08
🚫customer25 #405.4.28 | blocked 2026-09-08
🚫kh.alipur #405.5.3 | blocked 2026-09-08
🚫customer29 #405.4.30 | blocked 2026-09-08
🚫customer32 #405.5.1 | blocked 2026-09-08
🚫customer26 #405.4.29 | blocked 2026-09-08
🚫customer30 #405.4.31 | blocked 2026-09-08
🚫customer27 #405.4.29 | blocked 2026-09-08
🚫customer31 #405.4.31 | blocked 2026-09-08
fazlalizade #405.5.17 | src: pt.configs.txt
hoseyn.gotbi #405.6.17 | src: pt.configs.txt
alireza.gareahmadi #405.3.23 | src: pt.configs.txt
customer65 #405.6.15 | src: pt.configs.txt
habib.mojallal #404.6.15 | src: pt.configs.txt
milad.gasempur #405.6.14 | src: pt.configs.txt
afshin #| src: pt.configs.txt
arkan.paki #| src: pt.configs.txt
customer64 #405.6.14 | src: pt.configs.txt
customer63 #405.6.12 | src: pt.configs.txt
vahid.behruz1 #| src: pt.configs.txt
javadi #405.6.12 | src: pt.configs.txt
🚫amir.abdeli #405.4.23 | blocked 2026-09-01
🚫customer24 #405.4.24 | blocked 2026-09-01
🚫sajjad.mehdizade #405.3.10 | blocked 2026-09-01
🚫customer22 #405.4.20 | blocked 2026-09-01
🚫akram.hajalilu #405.4.22 | blocked 2026-09-01
🚫amin.mafi #405.5.22 | blocked 2026-09-01
bahman.hasanlu #405.6.10 | src: pt.configs.txt
customer62 #405.6.10 | src: pt.configs.txt
customer43 #405.5.22 | src: pt.configs.txt
customer61 #405.6.9 | src: pt.configs.txt
customer60 #405.6.9 | src: pt.configs.txt
alrostam #405.6.9 | src: pt.configs.txt
customer59 #405.6.8 | src: pt.configs.txt
customer58 #405.6.8 | src: pt.configs.txt
hasan.rasuli #405.6.7 | src: pt.configs.txt
hadi.mohammadi #405.6.7 | src: pt.configs.txt
customer57 #405.6.7 | src: pt.configs.txt
ruyin #405.4.20 | src: pt.configs.txt
vahid | src: pt.configs.txt
🚫customer56 #405.6.5 | blocked 2026-08-29 | src: pt.configs.txt
a.reza #404.7.16 | src: pt.configs.txt
customer55 #405.6.3 | src: pt.configs.txt
customer54 #405.6.3 | src: pt.configs.txt
customer53 #405.6.3 | src: pt.configs.txt
ehsan #404.8.3 | src: pt.configs.txt
customer52 #405.6.2 | src: pt.configs.txt
customer51 #405.6.2 | src: pt.configs.txt
customer50 #405.6.1 | src: pt.configs.txt
hamed.ayubi #405.5.11 | src: pt.configs.txt
customer49 #405.6.1 | src: pt.configs.txt
🚫customer15 #405.4.8 | blocked 2026-08-23
🚫customer20 #405.4.14 | blocked 2026-08-23
🚫r.khani #405.4.17 | blocked 2026-08-23
🚫customer16 #405.4.8 | blocked 2026-08-23
🚫narimani #405.4.9 | blocked 2026-08-23
🚫customer17 #405.4.8 | blocked 2026-08-23
🚫customer21 #405.4.15 | blocked 2026-08-23
🚫customer18 #405.4.8 | blocked 2026-08-23
🚫s.asgarzade #405.4.20 | blocked 2026-08-23
🚫customer14 #405.4.8 | blocked 2026-08-23
🚫customer19 #405.4.9 | blocked 2026-08-23
meysam.bampuri #405.5.11 | src: pt.configs.txt
jafar #| src: pt.configs.txt
🚫customer9 #405.3.31 | blocked 2026-07-25
🚫customer12 #405.4.6 | blocked 2026-07-25
🚫customer8 #405.3.30 | blocked 2026-07-25
🚫hossein.zarghami #405.4.6 | blocked 2026-07-25
🚫customer11 #405.4.1 | blocked 2026-07-25
vahid.behruz
🚫t.maaleki2 #405.3.10 | blocked 2026-07-11
🚫hadi.nariman #404.6.17 | blocked 2026-07-04
🚫peyman #404.7.13 | blocked 2026-07-04
🚫mansur #404.6.13 | blocked 2026-07-04
🚫customer10 #405.4.1 | blocked 2026-06-22
🚫robab.valizade #404.10.7 | blocked 2026-05-31
🚫s.khezri #404.10.6 | blocked 2026-05-31
🚫matin.bargi #404.10.11 | blocked 2026-05-31
🚫abedi #404.10.9 | blocked 2026-05-31
🚫eshgkhah #404.10.7 | blocked 2026-05-31
🚫seyyedhoseyni1 #404.10.7 | blocked 2026-05-31
🚫meysam.mohammadi #404.10.8 | blocked 2026-05-31
🚫bazdar #404.10.11 | blocked 2026-05-31
🚫yusefzade #404.10.7 | blocked 2026-05-31
🚫soheyl #404.9.22 | blocked 2026-05-31
🚫sabri #404.10.7 | blocked 2026-05-31
🚫eyvari #404.10.10 | blocked 2026-05-31
🚫nagizade #404.10.6 | blocked 2026-05-31
🚫lahuri #404.10.6 | blocked 2026-05-31
🚫customer7 #404.10.9 | blocked 2026-05-31
🚫hoseyni #404.10.10 | blocked 2026-05-31
🚫makhani #404.10.7 | blocked 2026-05-31
🚫shokrzade #404.10.6 | blocked 2026-05-31
🚫dahri #404.11.11 | blocked 2026-05-28
🚫mahdi.rayi #404.11.9 | blocked 2026-05-28
🚫hasan.gorbani #404.10.28 | blocked 2026-05-28
🚫ehsan.khosrotamar #404.11.11 | blocked 2026-05-28
🚫m.masumi #404.11.11 | blocked 2026-05-28
🚫mahdi.kiyarash #404.10.28 | blocked 2026-05-28
🚫habibzade1 #404.11.11 | blocked 2026-05-28
🚫habib.moja #404.11.11 | blocked 2026-05-28
🚫i.izadi #404.11.12 | blocked 2026-05-28
🚫mehdi.fekrat #404.11.15 | blocked 2026-05-28
🚫sakine.purzeynel #404.11.15 | blocked 2026-05-28
🚫karim.abbaszade #404.11.12 | blocked 2026-05-28
🚫yusef.nabati #404.11.16 | blocked 2026-05-28
🚫sakine.purzeynel1 #404.11.15 | blocked 2026-05-28
🚫masumi1 #404.11.16 | blocked 2026-05-28
🚫habibzade #404.11.12 | blocked 2026-05-28
🚫hossein.abbaszade #404.11.14 | blocked 2026-05-28
🚫tohid #404.11.16 | blocked 2026-05-28
🚫kazemi #404.11.16 | blocked 2026-05-28
🚫amir.agazade #404.11.19 | blocked 2026-05-28
🚫heydarzade #404.11.19 | blocked 2026-05-28
🚫alireza.agazade #404.11.11 | blocked 2026-05-28
🚫yusefi #404.11.12 | blocked 2026-05-28
🚫moradi #404.11.16 | blocked 2026-05-28
🚫a.panahi #404.11.11 | blocked 2026-05-28
🚫pakravan #404.11.12 | blocked 2026-05-28
🚫m.hatami #404.11.16 | blocked 2026-05-28
🚫rahim.beytollahi #404.11.13 | blocked 2026-05-28
🚫r.taragikhah #404.11.11 | blocked 2026-05-28
🚫karam.aghbashlu #404.11.13 | blocked 2026-05-28
🚫puya.hajaghayi #404.11.12 | blocked 2026-05-28
🚫simin #404.11.12 | blocked 2026-05-28
🚫esfandiyari #404.11.11 | blocked 2026-05-28
🚫masud.alipur #404.11.12 | blocked 2026-05-28
🚫bakhtiyar.rezayi #404.11.15 | blocked 2026-05-28
🚫alipour #404.11.12 | blocked 2026-05-28
🚫jabbarzade #404.11.16 | blocked 2026-05-28
🚫ebadi #404.11.19 | blocked 2026-05-28
🚫hasani #404.11.13 | blocked 2026-05-28
🚫tohid.aslanzade #404.11.11 | blocked 2026-05-28
🚫abrishami #404.11.11 | blocked 2026-05-28
🚫tahmazzade #404.11.19 | blocked 2026-05-28
🚫dolatkhah #404.10.18 | blocked 2026-05-28
🚫nemati #404.10.14 | blocked 2026-05-28
🚫parvin.bargushluyi #404.10.14 | blocked 2026-05-28
🚫ashrafi #404.10.18 | blocked 2026-05-28
🚫pashayi #404.10.18 | blocked 2026-05-28
🚫rahmanzade #404.10.13 | blocked 2026-05-28
🚫nasrin.alipur #404.10.18 | blocked 2026-05-28
🚫mohammad.panahi #404.10.18 | blocked 2026-05-28
🚫dorosti #404.10.13 | blocked 2026-05-28
🚫allahverdizade #404.10.15 | blocked 2026-05-28
🚫torkan #404.10.13 | blocked 2026-05-28
🚫shahram.karimi #404.10.16 | blocked 2026-05-28
🚫amir.valizade ---d #404.10.16 | blocked 2026-05-28
🚫customer5 ---d #404.10.17 | blocked 2026-05-28
🚫teymur.hagigat ---d #404.10.17 | blocked 2026-05-28
🚫esfandiyari1 ---d #404.10.17 | blocked 2026-05-28
🚫peyman.kh ---d #404.10.13 | blocked 2026-05-28
🚫mirhossein.mohammadi ---d #404.10.16 | blocked 2026-05-28
🚫b.hasanlou ---d #404.10.11 | blocked 2026-05-28
🚫mehdizade1 ---d #404.10.17 | blocked 2026-05-28
🚫teymuri ---d #404.10.16 | blocked 2026-05-28
🚫faramarz.ahmadpurtamar ---d #| blocked 2026-05-28
🚫ebrahim.golizade ---d #404.11.11 | blocked 2026-02-08
🚫soghra.sadati ---d #404.10.4 | blocked 2026-01-31
🚫alipur ---d #404.9.29 | blocked 2026-01-31
🚫nurali.gasemi ---d #404.10.1 | blocked 2026-01-31
🚫yunes.azarakhsh ---d #404.9.29 | blocked 2026-01-31
🚫khani1 ---d #404.9.29 | blocked 2026-01-31
🚫saied.mohammadi ---d #404.9.26 | blocked 2026-01-31
🚫atashbar ---d #404.9.27 | blocked 2026-01-31
🚫jaber.golamzade ---d #404.9.27 | blocked 2026-01-31
🚫sadegzade ---d #404.9.30 | blocked 2026-01-31
🚫hamed.khani ---d #404.10.1 | blocked 2026-01-31
🚫seyyedhamidi ---d #404.10.1 | blocked 2026-01-31
🚫customer1 ---d #404.9.26 | blocked 2026-01-31
🚫khodaverdilu ---d #404.10.2 | blocked 2026-01-31
🚫mozaffar ---d #404.9.27 | blocked 2026-01-31
🚫karimkhani ---d #404.9.11 | blocked 2026-01-31
🚫reza.musazade ---d #404.9.12 | blocked 2026-01-31
🚫mohammadzade.van ---d #404.9.22 | blocked 2026-01-31
🚫farjzade ---d #404.9.26 | blocked 2026-01-31
🚫mohammad.shamdi ---d #404.9.13 | blocked 2026-01-31
🚫valizade ---d #404.9.11 | blocked 2026-01-31
🚫khaled.jahangiri1 ---d #404.9.9 | blocked 2026-01-31
🚫reza.sahranavard ---d #404.9.13 | blocked 2026-01-31
🚫masumi ---d #404.9.13 | blocked 2026-01-31
🚫aslani ---d #404.9.26 | blocked 2026-01-31
🚫saidi ---d #404.9.9 | blocked 2026-01-31
🚫ehsan.alizade ---d #404.9.8 | blocked 2026-01-31
🚫t.hatami ---d #404.9.8 | blocked 2026-01-31
🚫golizade ---d #404.9.12 | blocked 2026-01-31
🚫ali.parsa ---d #404.9.24 | blocked 2026-01-18
🚫yunesi ---d #404.9.22 | blocked 2026-01-18
🚫soltani ---d #404.9.19 | blocked 2026-01-18
🚫alireza.aghazade ---d #404.9.18 | blocked 2026-01-18
🚫soodabeh.aghayi ---d #404.9.20 | blocked 2026-01-18
🚫majid.lotfi ---d #404.9.16 | blocked 2026-01-18
🚫fahmi ---d #404.9.16 | blocked 2026-01-18
🚫mehdizade ---d #404.9.14 | blocked 2026-01-18
🚫aragi ---d #404.9.24 | blocked 2026-01-18
🚫fateme.sabunchi ---d #404.9.24 | blocked 2026-01-18
🚫daryush.tamarzade ---d #404.9.14 | blocked 2026-01-18
🚫navid.maaleki ---d #404.9.23 | blocked 2026-01-18
🚫hoseyn.karimpur ---d #404.9.15 | blocked 2026-01-18
🚫nahid.movazzaf ---d #404.9.22 | blocked 2026-01-18
🚫karkon ---d #404.9.23 | blocked 2026-01-18
🚫tamarzade ---d #404.9.14 | blocked 2026-01-18
🚫jafar.parsa ---d #404.9.25 | blocked 2026-01-18
🚫s.ebadi ---d #404.9.23 | blocked 2026-01-18
🚫h.soleymanzade ---d #404.9.23 | blocked 2026-01-18
🚫mamadi ---d #404.9.15 | blocked 2026-01-18
🚫behruz.nurmohammadi ---d #404.9.23 | blocked 2026-01-18
🚫n.sahrayi ---d #404.9.22 | blocked 2026-01-18
🚫vali.milani ---d #404.9.15 | blocked 2026-01-18
🚫vahid.rasuli ---d #404.9.25 | blocked 2026-01-18
🚫dehgani ---d #404.9.15 | blocked 2026-01-18
🚫aghapour ---d #404.9.5 | blocked 2026-01-03
🚫khaled.jahangiri ---d #404.9.6 | blocked 2026-01-03
🚫mehdizade2 ---d #404.9.1 | blocked 2026-01-03
🚫vahid.rastgu ---d #404.9.5 | blocked 2026-01-03
🚫amirhossein.amini ---d #404.8.28 | blocked 2026-01-03
🚫mokhtar.abbaszade ---d #404.9.2 | blocked 2026-01-03
🚫mehdi.asiyabi ---d #404.9.1 | blocked 2026-01-03
🚫maharam.alizade ---d #404.9.5 | blocked 2026-01-03
🚫mortaza.kazemi ---d #404.9.5 | blocked 2026-01-03
🚫kimiya ---d #404.9.6 | blocked 2026-01-03
🚫torkan1 ---d #404.8.29 | blocked 2026-01-03
🚫customer6 ---d #404.9.5 | blocked 2026-01-03
🚫kimiya1 ---d #404.9.6 | blocked 2026-01-03
🚫yusefi1 ---d #404.10.6 | blocked 2025-12-27
🚫f.alinezhad ---d #404.8.26 | blocked 2025-12-27
🚫hosseinbaglu ---d #404.8.26 | blocked 2025-12-27
🚫nabizade ---d #404.8.27 | blocked 2025-12-27
🚫taher.musalu ---d #404.8.27 | blocked 2025-12-27
🚫habibi1 ---d #404.8.21 | blocked 2025-12-20
🚫khodaverdizade ---d #404.8.24 | blocked 2025-12-20
🚫farshad.jabbari1 ---d #404.8.25 | blocked 2025-12-20
🚫alireza.yasamani ---d #404.8.21 | blocked 2025-12-20
🚫ahmadpur ---d #404.8.24 | blocked 2025-12-20
🚫karimi ---d #404.8.24 | blocked 2025-12-20
🚫delayimilan ---d #404.8.17 | blocked 2025-12-20
🚫h.novin ---d#404.8.19 | blocked 2025-12-20
🚫afsari1 ---d #404.8.20 | blocked 2025-12-20
🚫s.aslani ---d #404.8.8 | blocked 2025-12-13
🚫f.kalbkhani ---d #404.8.8 | blocked 2025-12-13
🚫golinezhad ---d #404.8.12 | blocked 2025-12-13
🚫ahad.nouri ---d #404.8.13 | blocked 2025-12-13
🚫a.esmailzade ---d #404.8.13 | blocked 2025-12-13
🚫tohid.maaleki ---d #404.8.13 | blocked 2025-12-13
🚫bahman.tagizade ---d #404.8.10 | blocked 2025-12-13
🚫babayi ---d #404.8.12 | blocked 2025-12-13
🚫raha ---d #404.8.15 | blocked 2025-12-13
🚫farnaz.khani ---d #404.8.12 | blocked 2025-12-13
🚫esmayil.hasani ---d #404.8.14 | blocked 2025-12-13
🚫jahanbakhsh ---d #404.8.10 | blocked 2025-12-13
🚫rostam.soltani ---d #404.8.15 | blocked 2025-12-13
me.2025
family
sohrab #404.6.30
erfan #404.5.21
azmun #404.4.29
🚫mm
